id,source,prolific_pid,study_id,session_id,condition_type,task_order,informative_task_index,normative_task_index,created_at,finished_at,participant_no
00f48994-a285-4631-9696-edbecccdbd14,prolific,676c67883fa1ba4ea4eb05a7,68c05d68bc8abb0714642f7a,68c0625e6aba44d8bb84d139,minorityDiffusion,informativeFirst,2,1,2025-09-09 17:23:08.417661+00,2025-09-09 17:55:34.423+00,75
036599a1-cd2b-44e3-bab7-cb5fba869ec8,prolific,5f467b0a0d1aef037515c8c9,68c05d68bc8abb0714642f7a,68c07392424434b3cc7d0863,minority,normativeFirst,1,0,2025-09-09 18:38:31.35598+00,2025-09-09 19:26:09.788+00,98
03e8f4b6-1152-46b6-9d4b-857e3a7d6a46,prolific,5d5317c8f780730018f2c748,68c05d68bc8abb0714642f7a,68c063c8bf557f268e91c26e,minorityDiffusion,normativeFirst,5,5,2025-09-09 17:28:48.306127+00,,96
05139c5e-3fd5-4690-acb7-c2846171f544,prolific,5ff454f2f0b5ed607169fba6,68c05d68bc8abb0714642f7a,68c0652801e20530f0aa6a42,minority,informativeFirst,4,2,2025-09-09 17:36:03.58614+00,,113
07d88852-7da1-4eaa-9413-468d15f8dc10,prolific,5654171504212700054a12ad,68c05d68bc8abb0714642f7a,68c06297c8aa94f39b820601,minorityDiffusion,informativeFirst,2,1,2025-09-09 17:23:45.450366+00,2025-09-09 17:49:20.217+00,51
0930edef-2039-45fa-bf45-2ae4dec11438,prolific,614e4f5af7eba1c013541155,68c05d68bc8abb0714642f7a,68c0616ea7c9e7caed176d95,majority,informativeFirst,0,3,2025-09-09 17:19:04.193273+00,2025-09-09 17:58:40.069+00,43
0970deef-da21-4b37-bddf-814b4a94c050,prolific,5ae9cde00335e200019e9eed,68c05d68bc8abb0714642f7a,68c06164e9a8196aac5a7e77,minorityDiffusion,normativeFirst,5,2,2025-09-09 17:18:37.625975+00,2025-09-09 18:01:56.897+00,18
09b9e45a-2dad-4776-8f63-9a5ff5189f5f,prolific,612adba08b8235b31539c704,68c05d68bc8abb0714642f7a,68c061e21facdf44cded0c15,minorityDiffusion,informativeFirst,2,1,2025-09-09 17:25:16.127285+00,2025-09-09 17:56:47.134+00,87
09fb713b-901d-462f-84e3-212c0d1fec01,prolific,66a41543adadffb17baf40b8,68c05d68bc8abb0714642f7a,68c061f64e2ac8e1f14f18a0,minorityDiffusion,normativeFirst,5,5,2025-09-09 17:22:10.866615+00,2025-09-09 18:47:32.855+00,72
0ddcc4f5-84cf-4232-91c2-55d084eda6e9,prolific,65cb86a7e667e637599a3af3,68c05d68bc8abb0714642f7a,68c061b79193b779a5259bf4,majority,normativeFirst,3,1,2025-09-09 17:20:10.550864+00,2025-09-09 17:46:39.606+00,52
12977f58-b35a-48bb-ba9b-643cc0379c18,prolific,6772eefa63ec1102cc8bce2e,68c05d68bc8abb0714642f7a,68c0616ee3211d86caa0abc1,majority,normativeFirst,3,1,2025-09-09 17:40:28.729451+00,2025-09-09 18:27:43.861+00,112
134c2569-bfe7-414e-86a0-d3b3f948f5e9,prolific,66a261c8cd2d7a18cbe95b9a,68c05d68bc8abb0714642f7a,68c06f38e6dbf3e0cfd98787,minority,normativeFirst,1,0,2025-09-09 18:17:41.98957+00,2025-09-09 19:39:07.697+00,50
14bf7228-fadd-491c-8cc4-c74dd4c3fba6,prolific,676add84a7c12204af3e4c90,68c05d68bc8abb0714642f7a,68c061b2eacfcb0918835778,minorityDiffusion,normativeFirst,5,2,2025-09-09 17:20:17.718946+00,2025-09-09 18:00:56.748+00,54
15a24730-cdbc-4c30-ba5c-a2bb3c8683aa,prolific,6658ed45f69162ea286e4e3a,68c05d68bc8abb0714642f7a,68c0634c343716391f6b8d8f,minorityDiffusion,informativeFirst,2,1,2025-09-09 17:29:45.049111+00,2025-09-09 17:53:43.21+00,99
1956d093-8877-452f-b605-d6975cedbfa9,prolific,67d21364aa4dc87ecd8f3f1b,68c05d68bc8abb0714642f7a,68c061e06ae80ab0487d4c31,majority,informativeFirst,0,0,2025-09-09 17:22:29.294191+00,2025-09-09 18:04:35.155+00,73
1b52f199-6ea6-4a97-bcae-73fadd8581e3,prolific,64a826f6220bf56dca731156,68c05d68bc8abb0714642f7a,68c063c1f3ba1da09828f166,minorityDiffusion,informativeFirst,2,1,2025-09-09 17:28:46.36241+00,2025-09-09 18:06:04.445+00,63
1e02793a-b0a8-41ad-a7f6-e726b5e7dba7,prolific,5aff33bae55f90000139f664,68c05d68bc8abb0714642f7a,68c0615facd4420b4d77174c,minority,informativeFirst,4,2,2025-09-09 17:18:34.075089+00,,17
1e1d464b-26ac-4535-bf85-ff1dd0a686b4,prolific,60171c9b1a726593103182b3,68c05d68bc8abb0714642f7a,68c064d0506dc54ad43a4477,majority,informativeFirst,0,0,2025-09-09 17:33:50.687686+00,2025-09-09 18:20:06.579+00,109
1e550f61-e86f-4792-9766-7a50fd3332e3,prolific,57719c19b425c40001433b1f,68c05d68bc8abb0714642f7a,68c061d8e51881bb07dc4531,minority,informativeFirst,4,2,2025-09-09 17:20:37.640139+00,2025-09-09 17:39:30.367+00,17
206652aa-efa6-46bb-8a66-bc2718a52ce6,prolific,6691bc059b0182b0bdd7d682,68c05d68bc8abb0714642f7a,68c06acdc286cd324941a9c8,minority,informativeFirst,4,5,2025-09-09 17:58:54.54827+00,2025-09-09 18:18:28.391+00,83
21b14e1e-73cd-4390-af56-e404b575742d,prolific,59bc25620ac77f0001f05574,68c03b0330a5bf7db9a38960,68c03ddad81d68d319fbe6c3,majority,informativeFirst,0,0,2025-09-09 14:47:25.877595+00,2025-09-09 15:16:36.029+00,13
2648d04c-6732-41ba-a408-acd2a3ec32e7,prolific,628f7e982aad1788d940317a,68c03b0330a5bf7db9a38960,68c03d712569682f464c90f2,minority,informativeFirst,4,2,2025-09-09 14:45:18.682088+00,2025-09-09 15:24:54.249+00,5
28a1eac6-80a9-41ff-a0e8-2c3eea0b7a01,prolific,{{%PROLIFIC_PID%}},{{%STUDY_ID%}},{{%SESSION_ID%}},majority,informativeFirst,0,0,2025-09-09 14:24:09.07112+00,,1
2aba76f6-a5c0-48b6-8d2e-f2864685853f,prolific,632a1ae0d2c0c28e680e9c5a,68c05d68bc8abb0714642f7a,68c06403e224970b64f36886,majority,normativeFirst,3,1,2025-09-09 17:29:54.517409+00,,100
2e812134-90ba-44e2-b10e-f135b5c6ddd5,prolific,66774233add67a4a8e71398e,68c05d68bc8abb0714642f7a,68c064b727795047ce2f59be,minorityDiffusion,informativeFirst,2,4,2025-09-09 17:33:56.967689+00,2025-09-09 18:13:57.447+00,105
2f6754e3-91f8-42c4-8052-4680060616bb,prolific,66914783ed9646ac1537525a,68c05d68bc8abb0714642f7a,68c06accfe52099a905d67bb,minority,normativeFirst,1,3,2025-09-09 18:04:54.392829+00,2025-09-09 19:04:42.822+00,44
2f828026-f27a-435a-badf-35f92ed4dddb,prolific,test-1757431473178-eqqntb,TEST_STUDY,TEST_SESSION,minority,informativeFirst,4,5,2025-09-09 15:24:34.202787+00,,11
32539ad3-ad81-4f6f-8e57-de29a6edae93,prolific,631623dc8a64a7f2d743deac,68c05d68bc8abb0714642f7a,68c06233710f7b9e4b5fccd9,minority,normativeFirst,1,0,2025-09-09 17:22:07.083429+00,2025-09-09 17:57:21.845+00,38
32675228-78fc-4a45-91cb-6e2abd39ca5f,prolific,677401d939f129f94d412a63,68c03b0330a5bf7db9a38960,68c0408548dec87ccb0fd42f,majority,normativeFirst,3,1,2025-09-09 15:00:39.038711+00,2025-09-09 15:23:36.476+00,28
329bdee7-2437-4ed2-b7e8-132722cccc01,prolific,654e37a130d94b47675dcebe,68c05d68bc8abb0714642f7a,68c0634e174f1cf28635b5ec,minorityDiffusion,normativeFirst,5,2,2025-09-09 17:29:57.741652+00,2025-09-09 17:54:36.841+00,102
32b70b37-a395-44f7-af56-31268be200c4,prolific,66e4ef42a321cf28dda09db2,68c03b0330a5bf7db9a38960,68c03d0e6527da4a2e9af8ac,majority,informativeFirst,0,0,2025-09-09 14:43:42.776711+00,2025-09-09 15:11:48.063+00,1
3602b073-9f84-4bd3-a681-ea302ad6a1bf,prolific,5ee5defbfe74a3000d106f51,68c03b0330a5bf7db9a38960,68c03df4948dd38dcce7691f,minorityDiffusion,normativeFirst,5,5,2025-09-09 14:47:25.61038+00,2025-09-09 15:05:01.126+00,12
37434cb2-4371-4c88-93e7-ba80a6511ca3,prolific,67ccc62a623f466a4ad19371,68c03b0330a5bf7db9a38960,68c03e8feca71426c3f76a1c,majority,informativeFirst,0,3,2025-09-09 14:50:33.602912+00,2025-09-09 15:23:57.384+00,19
3794c56c-dffa-48cd-b926-e7a6b094f258,prolific,65c347be7d456f4e0902823d,68c03b0330a5bf7db9a38960,68c03d35809955e05b724b59,majority,normativeFirst,3,1,2025-09-09 14:44:41.510841+00,2025-09-09 15:39:34.722+00,4
38598dd5-4b64-46e0-8bda-c1a3766ec74d,prolific,681483783a042ecec50bfb17,68c05d68bc8abb0714642f7a,68c06871e772aaec5867420f,minorityDiffusion,normativeFirst,5,5,2025-09-09 17:48:59.926528+00,2025-09-09 18:12:13.652+00,120
4225fb9a-e135-4365-b761-b672e40539e1,prolific,6078b4ad9006e4f6572dde97,68c05d68bc8abb0714642f7a,68c0654516f2c10b7f3ccfa3,minorityDiffusion,informativeFirst,2,1,2025-09-09 17:35:14.427398+00,2025-09-09 18:12:08.985+00,111
43767e66-41d2-4d39-ab15-55bb730cb0ed,prolific,66854df2e5fef4239ff63a7d,68c05d68bc8abb0714642f7a,68c0635a23ce7b78c0428efb,majority,normativeFirst,3,1,2025-09-09 17:27:11.373502+00,2025-09-09 17:48:14.525+00,88
47ab34ec-119b-4c47-8afa-ee52517f2fc3,prolific,6664c7aa5c1c7846d3618f74,68c05d68bc8abb0714642f7a,68c06227b8ab802bc51d38bb,minority,informativeFirst,4,5,2025-09-09 17:22:10.851406+00,,71
492d89b6-d366-43d8-b3e3-3d3776f18f09,prolific,676556ccb7aac9ede13d73c9,68c05d68bc8abb0714642f7a,68c065b9b1b23323b252a12a,minorityDiffusion,informativeFirst,2,4,2025-09-09 17:37:36.338114+00,2025-09-09 18:31:14.403+00,117
493833b0-279f-4de0-98ef-75ccbb764aac,prolific,5dee651e58776a51569d31f3,68c05d68bc8abb0714642f7a,68c0635b221a814609f5e544,majority,informativeFirst,0,3,2025-09-09 17:30:12.391341+00,2025-09-09 18:08:52.096+00,103
4a257cd1-8d04-4b90-a741-5745fa88f51a,prolific,6640d0ae532fbc1394f8c1dd,68c03b0330a5bf7db9a38960,68c03d91a4f4f4660d5630e8,minorityDiffusion,normativeFirst,5,2,2025-09-09 14:45:55.518587+00,2025-09-09 15:14:57.626+00,6
4a3c5081-d999-41a2-ac0f-c3be5c903638,prolific,5eca536f9aa4f658d641a7d9,68c03b0330a5bf7db9a38960,68c03e7e560c19878bfc565e,minorityDiffusion,normativeFirst,5,2,2025-09-09 14:49:48.347814+00,2025-09-09 15:33:23.567+00,18
4d1cd95f-4f3f-40ae-ab18-7f0171c8d7f7,prolific,5eab170759f5390b776df5a1,68c05d68bc8abb0714642f7a,68c0652b061276d20b570261,majority,normativeFirst,3,1,2025-09-09 17:34:57.043414+00,2025-09-09 18:04:13.21+00,100
4ecb8388-2338-4007-81be-d00054e8c430,prolific,67101014b833fd5fb2bfb9bd,68c05d68bc8abb0714642f7a,68c06357a4205fe7220cf8c4,minorityDiffusion,normativeFirst,5,5,2025-09-09 17:33:17.218201+00,2025-09-09 18:15:37.723+00,108
